log_score,is_anomaly
-81.18994892644318,False
-81.18994892644318,False
-81.18994892644318,False
-81.18994892644318,False
-81.18994892644318,False
-81.18994892644318,False
-76.05205462123271,False
-76.97745733232871,False
-76.05205462123271,False
-76.97745733232871,False
-76.97745733232871,False
-76.97745733232871,False
-76.05205462123271,False
-77.89599474545163,False
-76.05205462123271,False
-76.05205462123271,False
-76.05205462123271,False
-76.97745733232871,False
-76.05205462123271,False
-76.97745733232871,False
-76.97745733232871,False
-77.89599474545163,False
-76.05205462123271,False
-76.05205462123271,False
-76.05205462123271,False
-76.05205462123271,False
-76.97745733232871,False
-77.89599474545163,False
-76.05205462123271,False
-76.97745733232871,False
-76.97745733232871,False
-76.05205462123271,False
-76.97745733232871,False
-76.05205462123271,False
-76.05205462123271,False
-76.05205462123271,False
-76.05205462123271,False
-76.97745733232871,False
-76.97745733232871,False
-76.05205462123271,False
